"ENSGID","GENE","CHR","locus_label","pops_scaled_locus_01","magma_scaled_locus_01","final_nearest_gene_score","combined_score"
"ENSG00000157933","SKI",1,"Locus 1",1,0.601149887822545,0,1.60114988782254
"ENSG00000078369","GNB1",1,"Locus 1",0.873074264106816,0.216365505570286,0,1.0894397696771
"ENSG00000067606","PRKCZ",1,"Locus 1",0.729899656679837,0.822693471657966,0,1.5525931283378
"ENSG00000157881","PANK4",1,"Locus 1",0.503053083227571,0.411735360428645,0,0.914788443656216
"ENSG00000008128","CDK11A",1,"Locus 1",0.45251795564032,0.170912137766042,0,0.623430093406362
"ENSG00000116151","MORN1",1,"Locus 1",0.35920465804132,0.68116245610747,0,1.04036711414879
"ENSG00000008130","NADK",1,"Locus 1",0.271488796594108,0,0,0.271488796594108
"ENSG00000162585","FAAP20",1,"Locus 1",0.120511061818258,0.779255714986577,0,0.899766776804835
"ENSG00000149527","PLCH2",1,"Locus 1",0.117892020762438,0.386788968573775,0,0.504680989336214
"ENSG00000157916","RER1",1,"Locus 1",0,1,0,1
"ENSG00000116254","CHD5",1,"Locus 2",1,0.185159570539377,0,1.18515957053938
"ENSG00000097021","ACOT7",1,"Locus 2",0.848610753920334,1,0,1.84861075392033
"ENSG00000007923","DNAJC11",1,"Locus 2",0.321744328655274,0.445447891976821,0,0.767192220632096
"ENSG00000131697","NPHP4",1,"Locus 2",0.241388038162282,0.109151217677985,0,0.350539255840267
"ENSG00000041988","THAP3",1,"Locus 2",0.173207360217134,0,0,0.173207360217134
"ENSG00000069424","KCNAB2",1,"Locus 2",0.169530314782161,0.482713471339076,0,0.652243786121237
"ENSG00000171680","PLEKHG5",1,"Locus 2",0.164186335497453,0.487883650818164,0,0.652069986315617
"ENSG00000162408","NOL9",1,"Locus 2",0.0513205748491839,0.789857943163837,0,0.84117851801302
"ENSG00000116251","RPL22",1,"Locus 2",0.0323771141687986,0.00911831653584546,0,0.0414954307046441
"ENSG00000158292","GPR153",1,"Locus 2",0,0.897670733426889,0,0.897670733426889
"ENSG00000037637","FBXO42",1,"Locus 3",1,1,0,2
"ENSG00000065526","SPEN",1,"Locus 3",0.69534475108737,0.106119363453771,0,0.801464114541141
"ENSG00000116786","PLEKHM2",1,"Locus 3",0.648660342676282,0.124363784845609,0,0.773024127521891
"ENSG00000132906","CASP9",1,"Locus 3",0.642636249311572,0.114480102412431,0,0.757116351724002
"ENSG00000055070","SZRD1",1,"Locus 3",0.578881819381476,0.703390204604145,0,1.28227202398562
"ENSG00000157191","NECAP2",1,"Locus 3",0.486138781655149,0.33708919151566,0,0.823227973170808
"ENSG00000116809","ZBTB17",1,"Locus 3",0.315689989519854,0.0973778886264816,0,0.413067878146335
"ENSG00000116138","DNAJC16",1,"Locus 3",0.305887980220271,0,0,0.305887980220271
"ENSG00000162458","FBLIM1",1,"Locus 3",0.222670626728765,0.348213300373011,0,0.570883927101776
"ENSG00000215695","RSC1A1",1,"Locus 3",0,0.168599443794557,0,0.168599443794557
"ENSG00000037637","FBXO42",1,"Locus 4",1,1,0,2
"ENSG00000159363","ATP13A2",1,"Locus 4",0.991391179116971,0.119960202051125,0,1.1113513811681
"ENSG00000055070","SZRD1",1,"Locus 4",0.662178074719043,0.588596356956988,0,1.25077443167603
"ENSG00000117122","MFAP2",1,"Locus 4",0.626913994674334,0.0691259758150926,0,0.696039970489426
"ENSG00000157191","NECAP2",1,"Locus 4",0.587779407069275,0.080529618858105,0,0.66830902592738
"ENSG00000117118","SDHB",1,"Locus 4",0.526541287273648,0,0,0.526541287273648
"ENSG00000058453","CROCC",1,"Locus 4",0.276556974627154,0.159329557630491,0,0.435886532257645
"ENSG00000132881","CPLANE2",1,"Locus 4",0.177135886467216,0.554186438083576,0,0.731322324550792
"ENSG00000142632","ARHGEF19",1,"Locus 4",0.112379565185777,0.589254553803766,0,0.701634118989543
"ENSG00000142627","EPHA2",1,"Locus 4",0,0.593877238634624,0,0.593877238634624
"ENSG00000143499","SMYD2",1,"Locus 5",1,1,0,2
"ENSG00000117724","CENPF",1,"Locus 5",0.851023393105718,0.293184644553628,0,1.14420803765935
"ENSG00000152104","PTPN14",1,"Locus 5",0.476354691908246,0.0132651050267409,0,0.489619796934987
"ENSG00000117707","PROX1",1,"Locus 5",0,0,0,0
"ENSG00000077522","ACTN2",1,"Locus 6",1,0.441413864104324,1,2.44141386410432
"ENSG00000116984","MTR",1,"Locus 6",0.818411570740156,1,0,1.81841157074016
"ENSG00000198626","RYR2",1,"Locus 6",0.664146969248661,0.0671997254632807,0,0.731346694711941
"ENSG00000116977","LGALS8",1,"Locus 6",0.546646012150123,0.140859849004804,0,0.687505861154927
"ENSG00000086619","ERO1B",1,"Locus 6",0.232354391842982,0,0,0.232354391842982
"ENSG00000119285","HEATR1",1,"Locus 6",0.213880221137766,0.309718599862732,0,0.523598821000498
"ENSG00000186197","EDARADD",1,"Locus 6",0.132927898030123,0.267593685655456,0,0.400521583685579
"ENSG00000244020","MT1HL1",1,"Locus 6",0,0.359354838709677,0,0.359354838709677
"ENSG00000204130","RUFY2",10,"Locus 7",1,0.293272811201723,0,1.29327281120172
"ENSG00000138336","TET1",10,"Locus 7",0.995815794488633,1,0,1.99581579448863
"ENSG00000148634","HERC4",10,"Locus 7",0.875920779726735,0.599230650869364,0,1.4751514305961
"ENSG00000096746","HNRNPH3",10,"Locus 7",0.780148979281194,0.239215263886752,0,1.01936424316795
"ENSG00000096717","SIRT1",10,"Locus 7",0.521304372273084,0.545893214340668,0,1.06719758661375
"ENSG00000183230","CTNNA3",10,"Locus 7",0.470516098350199,0,0,0.470516098350199
"ENSG00000138347","MYPN",10,"Locus 7",0.340134685586558,0.894352977381136,0,1.23448766296769
"ENSG00000138346","DNA2",10,"Locus 7",0.294101126598204,0.469616864132943,0,0.763717990731147
"ENSG00000108176","DNAJC12",10,"Locus 7",0.0618994839854162,0.171318664409909,0,0.233218148395325
"ENSG00000122912","SLC25A16",10,"Locus 7",0,0.192601938759809,0,0.192601938759809
"ENSG00000156650","KAT6B",10,"Locus 8",1,0.524752075609953,0,1.52475207560995
"ENSG00000165637","VDAC2",10,"Locus 8",0.689567705889935,0,0,0.689567705889935
"ENSG00000156110","ADK",10,"Locus 8",0.679312613410673,0.481758850450518,0,1.16107146386119
"ENSG00000148655","LRMDA",10,"Locus 8",0.643522711529988,1,0,1.64352271152999
"ENSG00000156671","SAMD8",10,"Locus 8",0.209028934752193,0.40706794090799,0,0.616096875660183
"ENSG00000165644","COMTD1",10,"Locus 8",0.131150125282366,0.297444065649509,0,0.428594190931875
"ENSG00000165655","ZNF503",10,"Locus 8",0.119133615600286,0.244208473828996,0,0.363342089429282
"ENSG00000079393","DUSP13B",10,"Locus 8",0.0212354749030277,NA,0,NA
"ENSG00000188716","DUSP29",10,"Locus 8",0,0.498785993281047,0,0.498785993281047
"ENSG00000107779","BMPR1A",10,"Locus 9",1,1,0,2
"ENSG00000148672","GLUD1",10,"Locus 9",0.457512202755489,0.448441727405787,0,0.905953930161275
"ENSG00000122376","SHLD2",10,"Locus 9",0.326883525721262,0.78186401336507,0,1.10874753908633
"ENSG00000122367","LDB3",10,"Locus 9",0.289531925789993,0.26901639586629,0,0.558548321656283
"ENSG00000182771","GRID1",10,"Locus 9",0.269359692599917,0.497627847839264,0,0.766987540439182
"ENSG00000173269","MMRN2",10,"Locus 9",0.1490980957605,0.848955484262038,0,0.998053580022538
"ENSG00000062650","WAPL",10,"Locus 9",0.0125046678310106,0.736830822454501,0,0.749335490285512
"ENSG00000148671","ADIRF",10,"Locus 9",0.0125046678310106,0.11072014666095,0,0.123224814491961
"ENSG00000188100","FAM25A",10,"Locus 9",0.000899681784997571,0.618570647111873,0,0.619470328896871
"ENSG00000122375","OPN4",10,"Locus 9",0,0,0,0
"ENSG00000148908","RGS10",10,"Locus 10",1,1,1,3
"ENSG00000197771","MCMBP",10,"Locus 10",0.822547313520506,0.50983676916474,0,1.33238408268525
"ENSG00000198873","GRK5",10,"Locus 10",0.765298920093152,0.880149709027307,0,1.64544862912046
"ENSG00000198825","INPP5F",10,"Locus 10",0.558758273722552,0.109448190246761,0,0.668206463969313
"ENSG00000151923","TIAL1",10,"Locus 10",0.465478206154162,0.464107214553711,0,0.929585420707873
"ENSG00000183605","SFXN4",10,"Locus 10",0.406678652851712,0.580699349753331,0,0.987378002605043
"ENSG00000107581","EIF3A",10,"Locus 10",0.401542351410525,0.395699788173725,0,0.79724213958425
"ENSG00000119979","DENND10",10,"Locus 10",0.345791450216598,0.0505614088524,0,0.396352859068998
"ENSG00000151929","BAG3",10,"Locus 10",0.0106840785315132,0,0,0.0106840785315132
"ENSG00000165672","PRDX3",10,"Locus 10",0,0.0523427801390946,0,0.0523427801390946
"ENSG00000148908","RGS10",10,"Locus 11",1,1,0,2
"ENSG00000197771","MCMBP",10,"Locus 11",0.840505141806526,0.50983676916474,0,1.35034191097127
"ENSG00000198873","GRK5",10,"Locus 11",0.78905016204461,0.880149709027307,0,1.66919987107192
"ENSG00000198825","INPP5F",10,"Locus 11",0.603410982623823,0.109448190246761,0,0.712859172870584
"ENSG00000151923","TIAL1",10,"Locus 11",0.519570656257069,0.464107214553711,0,0.98367787081078
"ENSG00000183605","SFXN4",10,"Locus 11",0.466721490646394,0.580699349753331,0,1.04742084039973
"ENSG00000119979","DENND10",10,"Locus 11",0.411995941302812,0.0505614088524,0,0.462557350155212
"ENSG00000151929","BAG3",10,"Locus 11",0.110800711256651,0,0,0.110800711256651
"ENSG00000165672","PRDX3",10,"Locus 11",0.101197838377583,0.0523427801390946,0,0.153540618516678
"ENSG00000107651","SEC23IP",10,"Locus 11",0,0.196816144946397,0,0.196816144946397
"ENSG00000148908","RGS10",10,"Locus 12",1,1,0,2
"ENSG00000197771","MCMBP",10,"Locus 12",0.840505141806526,0.50983676916474,0,1.35034191097127
"ENSG00000198873","GRK5",10,"Locus 12",0.78905016204461,0.880149709027307,0,1.66919987107192
"ENSG00000198825","INPP5F",10,"Locus 12",0.603410982623823,0.109448190246761,0,0.712859172870584
"ENSG00000151923","TIAL1",10,"Locus 12",0.519570656257069,0.464107214553711,0,0.98367787081078
"ENSG00000183605","SFXN4",10,"Locus 12",0.466721490646394,0.580699349753331,0,1.04742084039973
"ENSG00000151929","BAG3",10,"Locus 12",0.110800711256651,0,0,0.110800711256651
"ENSG00000165672","PRDX3",10,"Locus 12",0.101197838377583,0.0523427801390946,0,0.153540618516678
"ENSG00000107651","SEC23IP",10,"Locus 12",0,0.196816144946397,0,0.196816144946397
"ENSG00000148908","RGS10",10,"Locus 13",1,1,0,2
"ENSG00000197771","MCMBP",10,"Locus 13",0.840505141806526,0.50983676916474,0,1.35034191097127
"ENSG00000198873","GRK5",10,"Locus 13",0.78905016204461,0.880149709027307,0,1.66919987107192
"ENSG00000198825","INPP5F",10,"Locus 13",0.603410982623823,0.109448190246761,0,0.712859172870584
"ENSG00000151923","TIAL1",10,"Locus 13",0.519570656257069,0.464107214553711,0,0.98367787081078
"ENSG00000151929","BAG3",10,"Locus 13",0.110800711256651,0,0,0.110800711256651
"ENSG00000165672","PRDX3",10,"Locus 13",0.101197838377583,0.0523427801390946,0,0.153540618516678
"ENSG00000107651","SEC23IP",10,"Locus 13",0,0.196816144946397,0,0.196816144946397
"ENSG00000148908","RGS10",10,"Locus 14",1,1,0,2
"ENSG00000197771","MCMBP",10,"Locus 14",0.840505141806526,0.50983676916474,0,1.35034191097127
"ENSG00000198873","GRK5",10,"Locus 14",0.78905016204461,0.880149709027307,0,1.66919987107192
"ENSG00000198825","INPP5F",10,"Locus 14",0.603410982623823,0.109448190246761,0,0.712859172870584
"ENSG00000151923","TIAL1",10,"Locus 14",0.519570656257069,0.464107214553711,0,0.98367787081078
"ENSG00000151929","BAG3",10,"Locus 14",0.110800711256651,0,0,0.110800711256651
"ENSG00000107651","SEC23IP",10,"Locus 14",0,0.196816144946397,0,0.196816144946397
"ENSG00000148908","RGS10",10,"Locus 15",1,1,0,2
