"ENSGID","GENE","CHR","locus_label","pops_scaled_locus_01","magma_scaled_locus_01","final_nearest_gene_score","combined_score"
"ENSG00000116254","CHD5",1,"Locus 1",1,0.0853212737893349,0,1.08532127378933
"ENSG00000097021","ACOT7",1,"Locus 1",0.800439152431858,1,0,1.80043915243186
"ENSG00000007923","DNAJC11",1,"Locus 1",0.105925419760494,0.377501413227812,0,0.483426832988306
"ENSG00000131697","NPHP4",1,"Locus 1",0,0,0,0
"ENSG00000037637","FBXO42",1,"Locus 2",1,1,0,2
"ENSG00000065526","SPEN",1,"Locus 2",0.147492580526874,0,0,0.147492580526874
"ENSG00000116786","PLEKHM2",1,"Locus 2",0.0168570353123548,0.0204103553046306,0,0.0372673906169854
"ENSG00000132906","CASP9",1,"Locus 2",0,0.00935330581828463,0,0.00935330581828463
"ENSG00000037637","FBXO42",1,"Locus 3",1,1,0,2
"ENSG00000159363","ATP13A2",1,"Locus 3",0.97692537173697,0.0546091360541981,0,1.03153450779117
"ENSG00000055070","SZRD1",1,"Locus 3",0.09451997539797,0.558045844706811,0,0.652565820104781
"ENSG00000117122","MFAP2",1,"Locus 3",0,0,0,0
"ENSG00000143499","SMYD2",1,"Locus 4",1,1,0,2
"ENSG00000117724","CENPF",1,"Locus 4",0.851023393105718,0.293184644553628,0,1.14420803765935
"ENSG00000152104","PTPN14",1,"Locus 4",0.476354691908246,0.0132651050267409,0,0.489619796934987
"ENSG00000117707","PROX1",1,"Locus 4",0,0,0,0
"ENSG00000077522","ACTN2",1,"Locus 5",1,0.401172843593875,1,2.40117284359388
"ENSG00000116984","MTR",1,"Locus 5",0.599455537777304,1,0,1.5994555377773
"ENSG00000198626","RYR2",1,"Locus 5",0.259181479037628,0,0,0.259181479037628
"ENSG00000116977","LGALS8",1,"Locus 5",0,0.0789666615161616,0,0.0789666615161616
"ENSG00000204130","RUFY2",10,"Locus 6",1,0.0710549840828098,0,1.07105498408281
"ENSG00000138336","TET1",10,"Locus 6",0.980967995974337,1,0,1.98096799597434
"ENSG00000148634","HERC4",10,"Locus 6",0.43562135910224,0.473215838716593,0,0.908837197818833
"ENSG00000096746","HNRNPH3",10,"Locus 6",0,0,0,0
"ENSG00000156650","KAT6B",10,"Locus 7",1,0.524752075609953,0,1.52475207560995
"ENSG00000165637","VDAC2",10,"Locus 7",0.129166698270093,0,0,0.129166698270093
"ENSG00000156110","ADK",10,"Locus 7",0.100398827746626,0.481758850450518,0,0.582157678197144
"ENSG00000148655","LRMDA",10,"Locus 7",0,1,0,1
"ENSG00000107779","BMPR1A",10,"Locus 8",1,1,0,2
"ENSG00000148672","GLUD1",10,"Locus 8",0.236436066676577,0.245457395384584,0,0.481893462061161
"ENSG00000122376","SHLD2",10,"Locus 8",0.0525732278298385,0.701585664300305,0,0.754158892130144
"ENSG00000122367","LDB3",10,"Locus 8",0,0,0,0
"ENSG00000148908","RGS10",10,"Locus 9",1,1,0,2
"ENSG00000197771","MCMBP",10,"Locus 9",0.597833396273331,0.449596053292982,0,1.04742944956631
"ENSG00000198873","GRK5",10,"Locus 9",0.468089561957542,0.865420192671438,0,1.33350975462898
"ENSG00000198825","INPP5F",10,"Locus 9",0,0,0,0
"ENSG00000197601","FAR1",11,"Locus 10",1,0,0,1
"ENSG00000133818","RRAS2",11,"Locus 10",0.893592525059156,0.54082335985964,0,1.4344158849188
"ENSG00000129084","PSMA1",11,"Locus 10",0.0957900607391942,1,0,1.09579006073919
"ENSG00000129083","COPB1",11,"Locus 10",0,0.884579234287863,0,0.884579234287863
"ENSG00000165895","ARHGAP42",11,"Locus 11",1,1,0,2
"ENSG00000082175","PGR",11,"Locus 11",0.962566251867452,0.852074427782722,0,1.81464067965017
"ENSG00000137672","TRPC6",11,"Locus 11",0,0,0,0
"ENSG00000123104","ITPR2",12,"Locus 12",1,1,0,2
"ENSG00000123094","RASSF8",12,"Locus 12",0.90579623182749,0.361995115875468,0,1.26779134770296
"ENSG00000123096","SSPN",12,"Locus 12",0.0955536471294419,0,0,0.0955536471294419
"ENSG00000123095","BHLHE41",12,"Locus 12",0,0.126618478700936,0,0.126618478700936
"ENSG00000122966","CIT",12,"Locus 13",1,0,0,1
"ENSG00000135127","BICDL1",12,"Locus 13",0.500129213928679,1,0,1.50012921392868
"ENSG00000089159","PXN",12,"Locus 13",0.367003111752548,0.870592563103763,0,1.23759567485631
"ENSG00000089154","GCN1",12,"Locus 13",0,0.833302258079146,0,0.833302258079146
"ENSG00000100523","DDHD1",14,"Locus 14",1,0.150968072809554,0,1.15096807280955
"ENSG00000180998","GPR137C",14,"Locus 14",0.453026612314653,0.308461194184005,0,0.761487806498658
"ENSG00000197930","ERO1A",14,"Locus 14",0.353171201388956,1,0,1.35317120138896
"ENSG00000100519","PSMC6",14,"Locus 14",0,0,0,0
"ENSG00000053254","FOXN3",14,"Locus 15",0,0,1,1
"ENSG00000196557","CACNA1H",16,"Locus 16",1,0.0213582303351466,0,1.02135823033515
"ENSG00000103275","UBE2I",16,"Locus 16",0.435797804015973,0,0,0.435797804015973
"ENSG00000007516","BAIAP3",16,"Locus 16",0.287074805966137,1,0,1.28707480596614
"ENSG00000090565","RAB11FIP3",16,"Locus 16",0,0.0897781339808787,0,0.0897781339808787
"ENSG00000196557","CACNA1H",16,"Locus 17",1,0.346860530097397,0,1.3468605300974
"ENSG00000138834","MAPK8IP3",16,"Locus 17",0.773771066396667,0,0,0.773771066396667
"ENSG00000103275","UBE2I",16,"Locus 17",0.208609541778617,0.332606179147374,0,0.54121572092599
"ENSG00000007516","BAIAP3",16,"Locus 17",0,1,0,1
"ENSG00000108924","HLF",17,"Locus 18",1,0,1,2
"ENSG00000166263","STXBP4",17,"Locus 18",0.919606755422429,0.952456075228904,0,1.87206283065133
"ENSG00000141198","TOM1L1",17,"Locus 18",0.199192634825517,0.199239049740163,0,0.39843168456568
"ENSG00000108960","MMD",17,"Locus 18",0,1,0,1
"ENSG00000154240","CEP112",17,"Locus 19",1,1,0,2
"ENSG00000154229","PRKCA",17,"Locus 19",0.478344542129406,0.516052311562744,0,0.994396853692149
"ENSG00000091583","APOH",17,"Locus 19",0,0,0,0
"ENSG00000134775","FHOD3",18,"Locus 20",1,0.28581482234636,0,1.28581482234636
"ENSG00000150477","KIAA1328",18,"Locus 20",0.717417196074716,1,0,1.71741719607472
"ENSG00000134759","ELP2",18,"Locus 20",0.368400201251101,0.760164595270278,0,1.12856479652138
"ENSG00000134779","TPGS2",18,"Locus 20",0,0,0,0
"ENSG00000049759","NEDD4L",18,"Locus 21",1,0,1,2
"ENSG00000081923","ATP8B1",18,"Locus 21",0.805589119339782,0.476843420331494,0,1.28243253967128
"ENSG00000172175","MALT1",18,"Locus 21",0.301904079023724,1,0,1.30190407902372
"ENSG00000198796","ALPK2",18,"Locus 21",0,0.419933211011673,0,0.419933211011673
"ENSG00000125755","SYMPK",19,"Locus 22",1,0.240885397685504,0,1.2408853976855
"ENSG00000104967","NOVA2",19,"Locus 22",0.649513264678726,0.0314000054145121,0,0.680913270093238
"ENSG00000124440","HIF3A",19,"Locus 22",0.312805782707235,1,0,1.31280578270724
"ENSG00000104936","DMPK",19,"Locus 22",0,0,0,0
"ENSG00000115977","AAK1",2,"Locus 23",1,0.11988388969521,0,1.11988388969521
"ENSG00000116001","TIA1",2,"Locus 23",0.776934316534057,0.92300435413643,0,1.69993867067049
"ENSG00000087338","GMCL1",2,"Locus 23",0.568587818035584,0,0,0.568587818035584
"ENSG00000115998","C2orf42",2,"Locus 23",0,1,0,1
"ENSG00000135956","TMEM127",2,"Locus 24",1,0.695039986387613,0,1.69503998638761
"ENSG00000084090","STARD7",2,"Locus 24",0.832124867313017,0.962778628551982,0,1.794903495865
"ENSG00000144028","SNRNP200",2,"Locus 24",0.245560102985737,0,0,0.245560102985737
"ENSG00000121152","NCAPH",2,"Locus 24",0,1,0,1
"ENSG00000115616","SLC9A2",2,"Locus 25",1,1,0,2
"ENSG00000115607","IL18RAP",2,"Locus 25",0.171570260474187,0.10342641287808,0,0.274996673352267
"ENSG00000115602","IL1RL1",2,"Locus 25",0.104052260018754,0.746536212926133,0,0.850588472944887
"ENSG00000115604","IL18R1",2,"Locus 25",0,0,0,0
"ENSG00000079156","OSBPL6",2,"Locus 26",1,0.402918966802424,0,1.40291896680242
"ENSG00000187231","SESTD1",2,"Locus 26",0.640726214887531,1,0,1.64072621488753
"ENSG00000163492","CCDC141",2,"Locus 26",0.477063937495604,0,0,0.477063937495604
"ENSG00000116095","PLEKHA3",2,"Locus 26",0,0.279692907119528,0,0.279692907119528
"ENSG00000100991","TRPC4AP",20,"Locus 27",1,1,0,2
"ENSG00000198646","NCOA6",20,"Locus 27",0.73065945630233,0.22856604851696,0,0.95922550481929
"ENSG00000131067","GGT7",20,"Locus 27",0.380387941320343,0,0,0.380387941320343
"ENSG00000131069","ACSS2",20,"Locus 27",0,0.0338878499818191,0,0.0338878499818191
"ENSG00000099991","CABIN1",22,"Locus 28",1,1,0,2
"ENSG00000100014","SPECC1L",22,"Locus 28",0.756173129334396,0.0569195324315538,0,0.81309266176595
"ENSG00000099953","MMP11",22,"Locus 28",0.08522585540178,NA,0,NA
"ENSG00000099956","SMARCB1",22,"Locus 28",0,0,0,0
"ENSG00000131389","SLC6A6",3,"Locus 29",1,0.481245813797723,0,1.48124581379772
"ENSG00000170876","TMEM43",3,"Locus 29",0.491510878329239,0.313379102478232,0,0.80488998080747
"ENSG00000154781","CCDC174",3,"Locus 29",0.345397569191967,0,0,0.345397569191967
