"ENSGID","GENE","CHR","locus_label","pops_scaled_locus_01","magma_scaled_locus_01","final_nearest_gene_score","combined_score"
"ENSG00000037637","FBXO42",1,"Locus 1",1,1,1,3
"ENSG00000065526","SPEN",1,"Locus 1",0.309544376467557,0,0,0.309544376467557
"ENSG00000055070","SZRD1",1,"Locus 1",0.240118624642943,0.892088080730732,0,1.13220670537367
"ENSG00000142632","ARHGEF19",1,"Locus 1",0,0.705717589940983,0,0.705717589940983
"ENSG00000077522","ACTN2",1,"Locus 2",1,0.31753914364014,0,1.31753914364014
"ENSG00000116977","LGALS8",1,"Locus 2",0.307043031937104,0.113322365550106,0,0.420365397487209
"ENSG00000116984","MTR",1,"Locus 2",0.0474193772564742,1,0,1.04741937725647
"ENSG00000198626","RYR2",1,"Locus 2",0,0,0,0
"ENSG00000144331","ZNF385B",2,"Locus 3",1,1,1,3
"ENSG00000187231","SESTD1",2,"Locus 3",0.242703424630585,0.257950784625717,0,0.500654209256302
"ENSG00000163510","CWC22",2,"Locus 3",0.108892839325711,0.127305542352812,0,0.236198381678523
"ENSG00000163492","CCDC141",2,"Locus 3",0,0,0,0
"ENSG00000131389","SLC6A6",3,"Locus 4",1,0.943069306930693,0,1.94306930693069
"ENSG00000154767","XPC",3,"Locus 4",0.681938319364666,0,0,0.681938319364666
"ENSG00000154764","WNT7A",3,"Locus 4",0.0496149772772018,1,0,1.0496149772772
"ENSG00000170876","TMEM43",3,"Locus 4",0,0.0850805668802174,0,0.0850805668802174
"ENSG00000114541","FRMD4B",3,"Locus 5",1,0,0,1
"ENSG00000187098","MITF",3,"Locus 5",0,1,0,1
"ENSG00000120733","KDM3B",5,"Locus 6",1,0.902934054977923,0,1.90293405497792
"ENSG00000120705","ETF1",5,"Locus 6",0.359589990084535,0.744242273180459,0,1.10383226326499
"ENSG00000146013","GFRA3",5,"Locus 6",0.353094927209188,1,0,1.35309492720919
"ENSG00000120725","SIL1",5,"Locus 6",0,0,0,0
"ENSG00000112079","STK38",6,"Locus 7",1,1,0,2
"ENSG00000124772","CPNE5",6,"Locus 7",0.764456599175102,0.639211987084134,0,1.40366858625924
"ENSG00000198663","C6orf89",6,"Locus 7",0.332827830371654,0,0,0.332827830371654
"ENSG00000146192","FGD2",6,"Locus 7",0,0.354569531618474,0,0.354569531618474
"ENSG00000197157","SND1",7,"Locus 8",1,1,0,2
"ENSG00000106348","IMPDH1",7,"Locus 8",0.248693750254351,0.343878305140417,0,0.592572055394768
"ENSG00000106344","RBM28",7,"Locus 8",0.169544969555303,0.844665243334976,0,1.01421021289028
"ENSG00000128596","CCDC136",7,"Locus 8",0,0,0,0
"ENSG00000156831","NSMCE2",8,"Locus 9",1,0,0,1
"ENSG00000173334","TRIB1",8,"Locus 9",0,1,0,1
"ENSG00000184489","PTP4A3",8,"Locus 10",1,1,0,2
"ENSG00000022567","SLC45A4",8,"Locus 10",0.111425720155173,0,0,0.111425720155173
"ENSG00000204882","GPR20",8,"Locus 10",0,NA,0,NA
"ENSG00000066468","FGFR2",10,"Locus 11",1,1,0,2
"ENSG00000107669","ATE1",10,"Locus 11",0,0,0,0
"ENSG00000166833","NAV2",11,"Locus 12",1,0.0527035856598148,0,1.05270358565981
"ENSG00000110786","PTPN5",11,"Locus 12",0.600708070631232,0.155441988018148,0,0.756150058649379
"ENSG00000177054","ZDHHC13",11,"Locus 12",0.194639076795245,0,0,0.194639076795245
"ENSG00000129173","E2F8",11,"Locus 12",0,1,0,1
"ENSG00000123104","ITPR2",12,"Locus 13",1,1,0,2
"ENSG00000123094","RASSF8",12,"Locus 13",0.755701603021153,0,0,0.755701603021153
"ENSG00000123096","SSPN",12,"Locus 13",0.571533794241313,0.327011767821172,0,0.898545562062485
"ENSG00000123095","BHLHE41",12,"Locus 13",0,0.0860147972549106,0,0.0860147972549106
"ENSG00000170776","AKAP13",15,"Locus 14",1,0.854162144245963,0,1.85416214424596
"ENSG00000073417","PDE8A",15,"Locus 14",0.285680855238216,1,0,1.28568085523822
"ENSG00000183655","KLHL25",15,"Locus 14",0.104147770543927,0,0,0.104147770543927
"ENSG00000136383","ALPK3",15,"Locus 14",0,0.957541763825769,0,0.957541763825769
"ENSG00000090565","RAB11FIP3",16,"Locus 15",1,0.568539413073857,0,1.56853941307386
"ENSG00000196557","CACNA1H",16,"Locus 15",0.827951647339547,0,0,0.827951647339547
"ENSG00000007520","TSR3",16,"Locus 15",0.178171067986414,0.363029863878681,0,0.541200931865095
"ENSG00000127585","FBXL16",16,"Locus 15",0,1,0,1
"ENSG00000141200","KIF2B",17,"Locus 16",0,0,0,0
"ENSG00000134769","DTNA",18,"Locus 17",1,0,0,1
"ENSG00000101746","NOL4",18,"Locus 17",0,1,0,1
"ENSG00000196628","TCF4",18,"Locus 18",0,0,0,0
"ENSG00000099991","CABIN1",22,"Locus 19",1,1,1,3
"ENSG00000138867","GUCD1",22,"Locus 19",0.409632495819605,0.021771487840073,0,0.431403983659678
"ENSG00000100014","SPECC1L",22,"Locus 19",0.138663492947189,0,0,0.138663492947189
"ENSG00000128271","ADORA2A",22,"Locus 19",0,0.0426534822531453,0,0.0426534822531453
