"ENSGID","GENE","CHR","locus_label","pops_scaled_locus_01","magma_scaled_locus_01","nearest_gene_score","combined_score","BP","rsid","p_value","se"
"ENSG00000007923","DNAJC11",1,"Locus 1",1,0.531076970106814,0,1.53107697010681,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000116237","ICMT",1,"Locus 1",0.838281745209857,0.616099757402064,0,1.45438150261192,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000162413","KLHL21",1,"Locus 1",0.704417473040483,0.410062557884445,0,1.11448003092493,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000041988","THAP3",1,"Locus 1",0.506142094058897,0.393896033047504,0,0.900038127106401,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000116251","RPL22",1,"Locus 1",0.402576240259083,1,1,2.40257624025908,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000116254","CHD5",1,"Locus 1",0.341051724906066,0.140782038284207,0,0.481833763190273,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000131697","NPHP4",1,"Locus 1",0.235557211871335,0.201148529962574,0,0.436705741833909,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000162408","NOL9",1,"Locus 1",0.233055251693183,0,0,0.233055251693183,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000097021","ACOT7",1,"Locus 1",0.207510875820495,0.571665266505944,0,0.779176142326438,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000171680","PLEKHG5",1,"Locus 1",0,0.993652215586269,0,0.993652215586269,6262231,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000065526","SPEN",1,"Locus 2",1,0.953078554339157,0,1.95307855433916,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000055070","SZRD1",1,"Locus 2",0.894420393339308,0.135139880736606,0,1.02956027407591,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000116786","PLEKHM2",1,"Locus 2",0.876913068220375,0.0135179529471471,0,0.890431021167522,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000037637","FBXO42",1,"Locus 2",0.662345902667957,0.220354074530559,0,0.882699977198516,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000215695","RSC1A1",1,"Locus 2",0.173969814122645,0.27579886536649,0,0.449768679489135,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000132906","CASP9",1,"Locus 2",0.172199254614551,0,0,0.172199254614551,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000116809","ZBTB17",1,"Locus 2",0.163799001406352,1,0,1.16379900140635,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000157191","NECAP2",1,"Locus 2",0.0917281834769435,0.308763956354673,0,0.400492139831616,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000116138","DNAJC16",1,"Locus 2",0.0433536566275168,0.0835138294787211,0,0.126867486106238,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000173641","HSPB7",1,"Locus 2",0,0.803387587906909,1,1.80338758790691,16340761,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000055070","SZRD1",1,"Locus 3",1,0.284345884953847,0,1.28434588495385,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000037637","FBXO42",1,"Locus 3",0.828270251865958,0.554314589643836,0,1.38258484150979,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000117118","SDHB",1,"Locus 3",0.73289358697206,0.120723811711337,0,0.853617398683397,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000117122","MFAP2",1,"Locus 3",0.567073257020581,0.391898390731994,0,0.958971647752576,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000058453","CROCC",1,"Locus 3",0.530524146231615,0.42404786172641,0,0.954572007958025,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000159363","ATP13A2",1,"Locus 3",0.4972982798492,0,0,0.4972982798492,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000157191","NECAP2",1,"Locus 3",0.406026355460024,0.834407614235059,0,1.24043396969508,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000142632","ARHGEF19",1,"Locus 3",0.151893523850795,0.125773410471009,0,0.277666934321803,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000142627","EPHA2",1,"Locus 3",0.133035745214939,1,0,1.13303574521494,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000219481","NBPF1",1,"Locus 3",0,0.772319441852453,0,0.772319441852453,16956468,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000117707","PROX1",1,"Locus 4",1,1,0,2,214285221,"rs74139614",1.35696923027274e-08,0.0113073
"ENSG00000117724","CENPF",1,"Locus 4",0.193281587261409,0.436851797047121,0,0.63013338430853,214285221,"rs74139614",1.35696923027274e-08,0.0113073
"ENSG00000143499","SMYD2",1,"Locus 4",0.145151414651773,0,0,0.145151414651773,214285221,"rs74139614",1.35696923027274e-08,0.0113073
"ENSG00000152104","PTPN14",1,"Locus 4",0,0.42262996941896,0,0.42262996941896,214285221,"rs74139614",1.35696923027274e-08,0.0113073
"ENSG00000116984","MTR",1,"Locus 5",1,0.495033059184003,0,1.495033059184,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000198626","RYR2",1,"Locus 5",0.699260324811831,0,0,0.699260324811831,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000116977","LGALS8",1,"Locus 5",0.651836953032353,0.440654733107563,0,1.09249168613992,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000077522","ACTN2",1,"Locus 5",0.44829157562185,1,1,2.44829157562185,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000186197","EDARADD",1,"Locus 5",0.245195615962867,0.289132398000323,0,0.53432801396319,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000086619","ERO1LB",1,"Locus 5",0.240035997421336,0.314679890340268,0,0.554715887761603,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000119285","HEATR1",1,"Locus 5",0.0507282389861168,0.571085308821158,0,0.621813547807275,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000244020","MT1HL1",1,"Locus 5",0,0.419738751814224,0,0.419738751814224,236852282,"rs12724121",8.13954259097269e-15,0.00490343
"ENSG00000116001","TIA1",2,"Locus 6",1,0.703652795372927,0,1.70365279537293,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000163235","TGFA",2,"Locus 6",0.799964419618981,0,0,0.799964419618981,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000115977","AAK1",2,"Locus 6",0.669783742633929,0.472489008547479,0,1.14227275118141,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000087338","GMCL1",2,"Locus 6",0.529670659779705,0.587063627120284,0,1.11673428689999,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000169564","PCBP1",2,"Locus 6",0.415217809126874,0.0900742211044688,0,0.505292030231342,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000196975","ANXA4",2,"Locus 6",0.202945500135686,0.426038587193994,0,0.62898408732968,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000116005","PCYOX1",2,"Locus 6",0.120597342591817,0.564648867464166,0,0.685246210055983,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000115998","C2orf42",2,"Locus 6",0.112263303530101,1,0,1.1122633035301,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000124380","SNRNP27",2,"Locus 6",0.013981142622889,0.30372995031009,0,0.317711092932979,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000035141","FAM136A",2,"Locus 6",0,0.647963232384326,0,0.647963232384326,70312306,"rs62151166",1.927880009106e-10,0.00601339
"ENSG00000135956","TMEM127",2,"Locus 7",1,0.488082357955477,0,1.48808235795548,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000084090","STARD7",2,"Locus 7",0.966839412117203,0.324612307793187,0,1.29145171991039,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000121152","NCAPH",2,"Locus 7",0.603746382710126,0.434379200681945,0,1.03812558339207,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000144028","SNRNP200",2,"Locus 7",0.592315792709815,0.457525982754664,0,1.04984177546448,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000196843","ARID5A",2,"Locus 7",0.573967223730693,0.33225140159339,0,0.906218625324083,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000222040","ADRA2B",2,"Locus 7",0.479192359734142,0.826235205403101,1,2.30542756513724,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000144021","CIAO1",2,"Locus 7",0.446658379701254,0.268384643126455,0,0.715043022827709,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000186281","GPAT2",2,"Locus 7",0.336394783848264,0.498082030097374,0,0.834476813945638,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000174501","ANKRD36C",2,"Locus 7",0.048359166927617,1,0,1.04835916692762,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000198885","ITPRIPL1",2,"Locus 7",0,0,0,0,96759437,"rs2579547",3.98832003357068e-08,0.0048277
"ENSG00000170417","TMEM182",2,"Locus 8",1,1,1,3,103378560,"rs2732839",1.0015669843021e-10,0.00975314
"ENSG00000115616","SLC9A2",2,"Locus 8",0.910945769665244,0.451639852420842,0,1.36258562208609,103378560,"rs2732839",1.0015669843021e-10,0.00975314
"ENSG00000180251","SLC9A4",2,"Locus 8",0.728834249320198,0.339999092751081,0,1.06883334207128,103378560,"rs2732839",1.0015669843021e-10,0.00975314
"ENSG00000135953","MFSD9",2,"Locus 8",0.631002349671494,0.571929718450419,0,1.20293206812191,103378560,"rs2732839",1.0015669843021e-10,0.00975314
"ENSG00000115602","IL1RL1",2,"Locus 8",0.313839406570476,0.117276287537424,0,0.431115694107901,103378560,"rs2732839",1.0015669843021e-10,0.00975314
"ENSG00000115607","IL18RAP",2,"Locus 8",0.202296981084201,0.0409207064444915,0,0.243217687528692,103378560,"rs2732839",1.0015669843021e-10,0.00975314
