"locus_id","locus","locus_CHR","locus_BP","ENSGID","GENE","CHR","TSS","PoPS_score"
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119527477,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119542719,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119526094,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119516488,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119536533,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119543294,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119542704,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000148908","RGS10",10,119542687,0.133740683607289
"rs72840788","chr10:119656173",10,119656173,"ENSG00000197771","MCMBP",10,119872754,0.109645914982726
"rs72840788","chr10:119656173",10,119656173,"ENSG00000197771","MCMBP",10,119872843,0.109645914982726
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68406950,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68376946,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68364030,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68346724,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68407277,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68407189,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68377766,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68355698,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68407265,0.0961549894054581
"rs4451608","chr10:68173481",10,68173481,"ENSG00000204130","RUFY2",10,68407294,0.0961549894054581
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74824927,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74824936,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825255,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825484,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825492,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825499,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825527,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825535,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825558,0.24341328234319
"rs4745763","chr10:75075163",10,75075163,"ENSG00000156650","KAT6B",10,74825568,0.24341328234319
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86755786,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756596,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756601,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756613,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756616,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756619,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756620,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756650,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86756658,0.119972023715618
"rs12251655","chr10:86690301",10,86690301,"ENSG00000107779","BMPR1A",10,86755781,0.119972023715618
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100687653,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100738443,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100770341,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100770366,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100839404,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100913500,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100959850,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100687288,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000165895","ARHGAP42",11,100992080,0.117549140670023
"rs658286","chr11:101072061",11,101072061,"ENSG00000082175","PGR",11,101129813,0.107450668801466
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668659,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668668,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668682,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668696,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668709,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668711,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668720,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668721,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13668735,0.135027968066873
"rs2697821","chr11:14057811",11,14057811,"ENSG00000197601","FAR1",11,13694756,0.135027968066873
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119877288,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119877320,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119804478,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119742830,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119742832,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119742864,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119803357,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119803467,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119803486,0.199495722644046
"rs116904997","chr12:120230731",12,120230731,"ENSG00000122966","CIT",12,119803490,0.199495722644046
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123104","ITPR2",12,26494233,0.141864599908103
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123104","ITPR2",12,26427937,0.141864599908103
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123104","ITPR2",12,26495245,0.141864599908103
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123104","ITPR2",12,26495560,0.141864599908103
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123104","ITPR2",12,26630714,0.141864599908103
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123094","RASSF8",12,25958232,0.126361134455508
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123094","RASSF8",12,25958682,0.126361134455508
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123094","RASSF8",12,25959029,0.126361134455508
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123094","RASSF8",12,25959058,0.126361134455508
"rs111504524","chr12:26147358",12,26147358,"ENSG00000123094","RASSF8",12,25959065,0.126361134455508
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53153204,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53153323,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53153282,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53104146,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53093664,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53152383,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53152405,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53152615,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53103856,0.0774511416744523
"rs4901313","chr14:52920391",14,52920391,"ENSG00000100523","DDHD1",14,53053086,0.0774511416744523
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89180744,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89619130,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89417233,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89619149,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89412025,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89185873,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89223342,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89184154,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89412017,0.175551587213248
"rs12888084","chr14:89418647",14,89418647,"ENSG00000053254","FOXN3",14,89401665,0.175551587213248
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153103,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153106,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153108,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153112,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153117,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153118,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153143,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153241,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1153328,0.156748851405052
"rs11248864","chr16:1303514",16,1303514,"ENSG00000196557","CACNA1H",16,1182023,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153103,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153106,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153108,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153112,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153117,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153118,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153143,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153241,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1153328,0.156748851405052
"rs5015437","chr16:937371",16,937371,"ENSG00000196557","CACNA1H",16,1182023,0.156748851405052
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55264960,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55265810,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55266222,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55267591,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55267615,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55267816,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55283482,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55283496,0.0928414990239842
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55283700,0.0928414990239842
