"locus_label","rsid","CHR","BP","nearest_gene","nearest_dist_bp","pops_top_gene","same_gene"
"Locus 1","rs2503715",1,2212668,"FAAP20",52,"SKI",FALSE
"Locus 2","rs10864434",1,6202171,"RPL22",1323,"CHD5",FALSE
"Locus 3","rs1048334",1,16014266,"HSPB7",3559,"FBXO42",FALSE
"Locus 4","rs1762951",1,16629973,"ENSG00000291072",1040,"FBXO42",FALSE
"Locus 5","rs74139614",1,214111878,"LINC02775",107,"SMYD2",FALSE
"Locus 6","rs12724121",1,236688982,"ACTN2",2247,"ACTN2",TRUE
"Locus 7","rs4451608",10,68173481,"ENSG00000305768",15305,"RUFY2",FALSE
"Locus 8","rs4745763",10,75075163,"DUSP29",1508,"KAT6B",FALSE
"Locus 9","rs12251655",10,86690301,"LDB3",1054,"BMPR1A",FALSE
"Locus 10","rs2420626",10,119491664,"RGS10",24824,"RGS10",TRUE
"Locus 11","rs72840788",10,119656173,"BAG3",437,"RGS10",FALSE
"Locus 12","rs2697821",11,14057811,"RNA5SP332",77175,"FAR1",FALSE
"Locus 13","rs658286",11,101072061,"PGR",8036,"ARHGAP42",FALSE
"Locus 14","rs111504524",12,26147358,"SSPN",12391,"ITPR2",FALSE
"Locus 15","rs6490244",12,119191227,"ENSG00000213144",3623,"CIT",FALSE
"Locus 16","rs116904997",12,120230731,"PXN",3887,"CIT",FALSE
"Locus 17","rs4901313",14,52920391,"FERMT2",1052,"DDHD1",FALSE
"Locus 18","rs12888084",14,89418647,"FOXN3",99,"FOXN3",TRUE
"Locus 19","rs5015437",16,937371,"LMF1",10273,"CACNA1H",FALSE
"Locus 20","rs11248864",16,1303514,"UBE2I",24,"CACNA1H",FALSE
"Locus 21","rs17817857",17,55299581,"HLF",15861,"HLF",TRUE
"Locus 22","rs7210446",17,66310896,"ENSG00000307784",7438,"CEP112",FALSE
"Locus 23","rs2644260",18,36639271,"ENSG00000303986",24180,"FHOD3",FALSE
"Locus 24","rs12604734",18,58270525,"NEDD4L",15085,"NEDD4L",TRUE
"Locus 25","rs12462616",19,45807254,"RSPH6A",3677,"SYMPK",FALSE
"Locus 26","rs62151166",2,70085174,"PCBP1-AS1",380,"AAK1",FALSE
"Locus 27","rs2579547",2,96093689,"ADRA2B",22882,"TMEM127",FALSE
"Locus 28","rs2732839",2,102762101,"TMEM182",70,"SLC9A2",FALSE
"Locus 29","rs2255167",2,178693555,"ENSG00000267784",29902,"OSBPL6",FALSE
"Locus 30","rs2378294",20,34912575,"ACSS2",518,"TRPC4AP",FALSE
"Locus 31","rs5030613",22,23834100,"DERL3",2414,"CABIN1",FALSE
"Locus 32","rs62231957",3,14256355,"ENSG00000305583",3401,"SLC6A6",FALSE
"Locus 33","rs534958",3,53458929,"RPS25P4",16160,"CACNA1D",FALSE
"Locus 34","rs11711610",3,73524206,"PDZRN3",32732,"PDZRN3",TRUE
"Locus 35","rs1282945",3,111916272,"PHLDB2",4662,"PHLDB2",TRUE
"Locus 36","rs17694541",3,134684207,"ENSG00000300862",6480,"EPHB1",FALSE
"Locus 37","rs4875",3,158602808,"MTAPP1",8049,"RSRC1",FALSE
"Locus 38","rs2292804",4,16035461,"PROM1",2553,"LDB2",FALSE
"Locus 39","rs4235408",4,102955903,"ACTR3BP4",6053,"NFKB1",FALSE
"Locus 40","rs72801474",5,133108436,"ENSG00000251616",3394,"AFF4",FALSE
"Locus 41","rs35999985",5,139421136,"DNAJC18",826,"NRG2",FALSE
"Locus 42","rs12521291",5,144127860,"RN7SL87P",13019,"YIPF5",FALSE
"Locus 43","rs149405105",6,31008572,"MUC22",1902,"ATAT1",FALSE
"Locus 44","rs9274364",6,32664718,"HLA-DQB1",1920,"AGPAT1",FALSE
"Locus 45","rs730506",6,36678191,"CDKN1A",96,"CPNE5",FALSE
"Locus 46","rs6902979",6,90614016,"ENSG00000304803",582,"BACH2",FALSE
"Locus 47","rs1320759",6,121850314,"ENSG00000289871",7466,"GJA1",FALSE
"Locus 48","rs2195883",7,46584639,"ENSG00000297371",15334,NA,NA
"Locus 49","rs13225723",7,106776021,"LINC02577",135,"COG5",FALSE
"Locus 50","rs34373805",7,128846309,"FLNC",4978,"AHCYL2",FALSE
"Locus 51","rs9329259",8,12034511,"ENSG00000254817",101,"CTSB",FALSE
"Locus 52","rs2280919",8,123539539,"FBXO32",1650,"ATAD2",FALSE
"Locus 53","rs12541595",8,124845117,"LINC00964",2562,"MTSS1",FALSE
"Locus 54","rs11784619",8,143939607,"PLEC",10,"NRBP2",FALSE
