"ENSGID","GENE","CHR","locus_label","pops_scaled_locus_01","magma_scaled_locus_01","nearest_gene_score","combined_score","BP","rsid","p_value","se"
"ENSG00000116254","CHD5",1,"Locus 1",1,0.185159570539377,0,1.18515957053938,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000097021","ACOT7",1,"Locus 1",0.848610753920334,1,0,1.84861075392033,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000007923","DNAJC11",1,"Locus 1",0.321744328655274,0.445447891976821,0,0.767192220632096,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000131697","NPHP4",1,"Locus 1",0.241388038162282,0.109151217677985,0,0.350539255840267,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000041988","THAP3",1,"Locus 1",0.173207360217134,0,0,0.173207360217134,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000069424","KCNAB2",1,"Locus 1",0.169530314782161,0.482713471339076,0,0.652243786121237,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000171680","PLEKHG5",1,"Locus 1",0.164186335497453,0.487883650818164,0,0.652069986315617,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000162408","NOL9",1,"Locus 1",0.0513205748491839,0.789857943163837,0,0.84117851801302,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000116251","RPL22",1,"Locus 1",0.0323771141687986,0.00911831653584546,1,1.04149543070464,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000158292","GPR153",1,"Locus 1",0,0.897670733426889,0,0.897670733426889,6202171,"rs10864434",1.2061463307641e-11,0.00490963
"ENSG00000037637","FBXO42",1,"Locus 2",1,1,0,2,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000065526","SPEN",1,"Locus 2",0.69534475108737,0.106119363453771,0,0.801464114541141,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000116786","PLEKHM2",1,"Locus 2",0.648660342676282,0.124363784845609,0,0.773024127521891,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000132906","CASP9",1,"Locus 2",0.642636249311572,0.114480102412431,0,0.757116351724002,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000055070","SZRD1",1,"Locus 2",0.578881819381476,0.703390204604145,0,1.28227202398562,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000157191","NECAP2",1,"Locus 2",0.486138781655149,0.33708919151566,0,0.823227973170808,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000116809","ZBTB17",1,"Locus 2",0.315689989519854,0.0973778886264816,0,0.413067878146335,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000116138","DNAJC16",1,"Locus 2",0.305887980220271,0,0,0.305887980220271,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000162458","FBLIM1",1,"Locus 2",0.222670626728765,0.348213300373011,0,0.570883927101776,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000215695","RSC1A1",1,"Locus 2",0,0.168599443794557,0,0.168599443794557,16014266,"rs1048334",1.66073370550406e-26,0.00479351
"ENSG00000037637","FBXO42",1,"Locus 3",1,1,0,2,16629973,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000159363","ATP13A2",1,"Locus 3",0.991391179116971,0.119960202051125,0,1.1113513811681,16629973,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000055070","SZRD1",1,"Locus 3",0.662178074719043,0.588596356956988,0,1.25077443167603,16629973,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000117122","MFAP2",1,"Locus 3",0.626913994674334,0.0691259758150926,0,0.696039970489426,16629973,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000157191","NECAP2",1,"Locus 3",0.587779407069275,0.080529618858105,0,0.66830902592738,16629973,"rs1762951",2.04814170065073e-08,0.00637511
"ENSG00000117118","SDHB",1,"Locus 3",0.526541287273648,0,0,0.526541287273648,16629973,"rs1762951",2.04814170065073e-08,0.00637511
